TIMESTAMP;DATA_ISO;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
1678964390.082239522;2023-03-16 10:59:50;-65;-5.4, -15;4.6, 0;18.02775638
1678964390.101925985;2023-03-16 10:59:50;-66;-5.4, -15;4.6, 0;18.02775638
1678964390.876802170;2023-03-16 10:59:50;-65;-5.4, -15;4.6, 0;18.02775638
1678964390.900593707;2023-03-16 10:59:50;-66;-5.4, -15;4.6, 0;18.02775638
1678964391.215531910;2023-03-16 10:59:51;-66;-5.4, -15;4.6, 0;18.02775638
1678964391.284168484;2023-03-16 10:59:51;-72;-5.4, -15;4.6, 0;18.02775638
1678964391.994611984;2023-03-16 10:59:51;-66;-5.4, -15;4.6, 0;18.02775638
1678964392.015889762;2023-03-16 10:59:52;-63;-5.4, -15;4.6, 0;18.02775638
1678964393.051790650;2023-03-16 10:59:53;17;-5.4, -15;4.6, 0;18.02775638
1678964393.513140242;2023-03-16 10:59:53;-64;-5.4, -15;4.6, 0;18.02775638
1678964393.533131465;2023-03-16 10:59:53;-64;-5.4, -15;4.6, 0;18.02775638
1678964393.938158890;2023-03-16 10:59:53;-63;-5.4, -15;4.6, 0;18.02775638
1678964397.639964925;2023-03-16 10:59:57;-67;-5.4, -15;4.6, 0;18.02775638
1678964399.407961535;2023-03-16 10:59:59;-65;-5.4, -15;4.6, 0;18.02775638
1678964399.430274980;2023-03-16 10:59:59;-66;-5.4, -15;4.6, 0;18.02775638
1678964399.877836739;2023-03-16 10:59:59;-65;-5.4, -15;4.6, 0;18.02775638
1678964399.899209239;2023-03-16 10:59:59;-65;-5.4, -15;4.6, 0;18.02775638
1678964400.578070775;2023-03-16 11:00:00;-65;-5.4, -15;4.6, 0;18.02775638
1678964400.601891146;2023-03-16 11:00:00;-65;-5.4, -15;4.6, 0;18.02775638
1678964401.055495312;2023-03-16 11:00:01;-66;-5.4, -15;4.6, 0;18.02775638
1678964401.718246349;2023-03-16 11:00:01;-66;-5.4, -15;4.6, 0;18.02775638
1678964401.747058589;2023-03-16 11:00:01;-66;-5.4, -15;4.6, 0;18.02775638
1678964402.237337756;2023-03-16 11:00:02;-65;-5.4, -15;4.6, 0;18.02775638
1678964402.425732367;2023-03-16 11:00:02;-66;-5.4, -15;4.6, 0;18.02775638
1678964402.444414719;2023-03-16 11:00:02;-68;-5.4, -15;4.6, 0;18.02775638
1678964402.511562552;2023-03-16 11:00:02;-60;-5.4, -15;4.6, 0;18.02775638
1678964402.555221830;2023-03-16 11:00:02;-64;-5.4, -15;4.6, 0;18.02775638
1678964402.599426756;2023-03-16 11:00:02;-66;-5.4, -15;4.6, 0;18.02775638
1678964403.173021829;2023-03-16 11:00:03;-64;-5.4, -15;4.6, 0;18.02775638
1678964403.592188810;2023-03-16 11:00:03;-63;-5.4, -15;4.6, 0;18.02775638
1678964407.011424401;2023-03-16 11:00:07;-65;-5.4, -15;4.6, 0;18.02775638
1678964407.033760197;2023-03-16 11:00:07;-65;-5.4, -15;4.6, 0;18.02775638
1678964407.421546253;2023-03-16 11:00:07;-66;-5.4, -15;4.6, 0;18.02775638
1678964407.819283660;2023-03-16 11:00:07;-66;-5.4, -15;4.6, 0;18.02775638
1678964407.839596493;2023-03-16 11:00:07;-65;-5.4, -15;4.6, 0;18.02775638
1678964408.000349789;2023-03-16 11:00:08;-65;-5.4, -15;4.6, 0;18.02775638
1678964408.026552086;2023-03-16 11:00:08;-69;-5.4, -15;4.6, 0;18.02775638
